crawled_at,site_type,site_name,url,title,status,relevance_label,relevance_score,quarantined,content_excluded,metadata_items,reasons
2026-04-18T00:27:07.108271+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-supports-clean-water-charity-with-limited-edition-whisky-enigma,Glen Scotia Supports Clean Water Charity with Limited-Edition Whisky ‘ American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
2026-04-18T00:27:06.277206+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-launches-the-first-ever-online-campbeltown-malts-festival-experience,Glen Scotia launches the first ever online Campbeltown Malts Festival American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,12,rich extracted metadata
2026-04-18T00:27:05.451941+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-goes-platinum-at-san-francisco-world-spirits-challenge,San Francisco World Spirits Challenge | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,20,rich extracted metadata
2026-04-18T00:27:04.625387+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-partners-with-london-s-first-sherry-bar-to-launch-its-latest-limited-edition,Seasonal Release 2022 explores the flavours of Andalusia | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,30,rich extracted metadata
2026-04-18T00:25:23.285052+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/finalist-for-scottish-whisky-awards,Finalist for Annual Scottish Whisky Awards | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,19,rich extracted metadata
2026-04-18T00:25:22.463343+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-crowned-world-s-best-single-cask-single-malt-at-world-whiskies-awards-2023,Glen Scotia crowned ‘World’s Best Single Cask Single Malt’ | Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,19,rich extracted metadata
2026-04-18T00:25:21.643212+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/exciting-new-partnership-with-scottish-artist-alice-angus,Exciting New Partnership with Scottish Artist Alice Angus - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,28,0,0,10,some extracted metadata
2026-04-18T00:25:20.822969+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-blog,Joins Great British Entrepreneur Awards | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,15,rich extracted metadata
2026-04-18T00:23:49.316741+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news?page=1,News & Updates | Single Malt Scotch Whisky | Glen Scotia Whisky American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,30,0,0,12,rich extracted metadata
2026-04-18T00:23:48.489117+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/campbeltown-malts-festival-2023-preview,Campbeltown Malts Festival 2023 Preview - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,30,0,0,13,rich extracted metadata
2026-04-18T00:23:47.659691+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/deconstructed-festival-an-interview-with-gary-mills,Deconstructed Festival - An Interview with Gary Mills - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,17,rich extracted metadata
2026-04-18T00:23:46.834650+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/distillery-of-the-year-single-malt-launch,'Distillery of the Year' Single Malt Launch | Glen Scotia - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,12,rich extracted metadata
2026-04-18T00:22:18.893066+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/a-whisky-masterpiece-glen-scotia-has-unveiled-a-single-49-year-old-bottling-featuring-artwork-from-its-artist-in-residence-for-distillers-one-of-one-auction,49 Year Old bottling featuring artwork from its artist-in-residence fo - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,28,rich extracted metadata
2026-04-18T00:22:18.065343+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news?page=2,News & Updates | Single Malt Scotch Whisky | Glen Scotia Whisky Page 2 American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,20,0,0,10,some extracted metadata
2026-04-18T00:22:17.235941+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/a-decade-of-victoriana-an-interview-with-ashley-smith-7,A Decade of Victoriana – An Interview with Ashley Smith - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,21,rich extracted metadata
2026-04-18T00:22:16.415451+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news?page=3,News & Updates | Single Malt Scotch Whisky | Glen Scotia Whisky Page 3 American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
2026-04-18T00:20:53.789310+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/burns-night-recipe-haggis-with-glen-scotia-whisky-cream-sauce,Burns Night Recipe: Haggis with Glen Scotia Whisky Cream Sauce American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,16,rich extracted metadata
2026-04-18T00:20:52.963285+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news,News & Updates | Single Malt Scotch Whisky | Glen Scotia Whisky American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,30,0,0,15,rich extracted metadata
2026-04-18T00:20:52.120444+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/unveiling-glen-scotia-s-oldest-ever-whisky-the-elements-of-campbeltown-collection-release-number-one-air,Unveiling Glen Scotia’s Oldest Ever Whisky - The Elements of Campbelto - Glen Scotia American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
2026-04-18T00:20:51.158793+00:00,distillery,Glen Scotia,https://www.glenscotia.com/blogs/news/glen-scotia-malts-festival-2026-ticket-sale-tips,Glen Scotia Malts Festival 2026 – Ticket Sale Tips American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,20,0,0,8,some extracted metadata
2026-04-18T00:19:30.198271+00:00,distillery,Glen Scotia,https://www.glenscotia.com/,Glen Scotia | Campbeltown Whisky | Single Malt Scotch Distillery American Express Apple Pay Diners Club Discover Google Pay Maestro Mastercard PayPal Shop Pay Union Pay Visa,ok:direct-parallel,Medium,38,0,0,26,rich extracted metadata
